,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
22,Auto Stake (AStake),2021-03-17 13:17:12.016,2021-03-17 13:17:12.016,1,37914051121.224495,37914051121.224495
23,BABE Token (BABE),2021-03-10 15:12:47.485,2021-03-15 22:30:32.116,3,582.2602325705453,346.3308208058453
24,BELT Token (BELT),2021-03-11 11:46:57.091,2021-03-20 10:43:28.974,7,21.3360203618,12.6705289962
25,BINANCEPUNKS (ß),2021-03-14 22:07:23.285,2021-03-14 22:07:23.285,1,1.0,1.0
26,BLinkToken (blink),2021-03-14 14:59:31.331,2021-03-18 23:58:54.139,3,2190.026464,1359.107489
27,BNB Cash (BNBC),2021-03-18 03:35:33.411,2021-03-19 18:21:46.310,2,0.0311966596,0.0188122604
28,BSC Conflux (bCFX),2021-03-24 07:02:54.590,2021-03-24 07:02:54.590,1,108.3,108.3
29,BSCPAD.com (BSCPAD),2021-03-14 14:59:31.328,2021-03-23 07:41:23.798,3,238.6284538967,189.3478036966
30,BSWAP (BSWAP),2021-03-18 19:55:32.568,2021-03-18 19:55:32.568,1,4.8931243369,4.8931243369
31,BTesta (BTESTA),2021-03-22 13:16:31.280,2021-03-22 13:16:31.280,1,37.2,37.2
32,BUX Token (BUX),2021-03-10 20:45:53.460,2021-03-10 20:45:53.460,1,90.1021020578,90.1021020578
33,Bakery LPs (BLP),2021-03-10 15:12:47.644,2021-03-26 18:58:09.867,4,33.361170865199995,33.3141698652
34,BakeryToken (BAKE),2021-03-11 05:26:53.800,2021-03-26 10:41:56.136,11,4219.672444614501,2306.1041744831
35,Balloon Toke... (BLN),2021-03-15 22:30:35.026,2021-03-15 22:30:35.026,1,0.0029475,0.0029475
36,Bamboo Token (BBOO),2021-03-23 18:38:53.574,2021-03-23 18:38:53.574,1,19.7052631579,19.7052631579
37,Bat True Dol... (BTD),2021-03-15 11:21:13.198,2021-03-21 15:17:48.100,4,360.8178152493999,166.8668429488
38,Bat True Sha... (BTS),2021-03-11 11:46:57.153,2021-03-23 14:30:50.590,5,10.4788630324,7.0
39,Believer (BLVR),2021-03-18 17:52:22.030,2021-03-18 17:52:22.030,1,223.213,223.213
40,Bella Protoc... (BEL),2021-03-15 16:22:10.488,2021-03-15 16:22:10.488,1,78.545,78.545
41,Berry Tribut... (BRY),2021-03-11 18:09:30.191,2021-03-26 10:41:56.088,4,42.349655074400005,35.0
42,Billion Happ... (BHC),2021-03-11 18:09:33.175,2021-03-18 03:35:33.468,2,1.8950336311999998,1.5012440435999999
43,Binance Beac... (BETH),2021-03-26 18:58:09.776,2021-03-26 18:58:09.776,1,0.4995176965,0.4995176965
44,Binance GeoD... (BGEO),2021-03-23 14:30:50.650,2021-03-23 14:30:50.650,1,12.4214093354,12.4214093354
45,Binance-Peg ... (ADA),2021-03-10 20:45:53.530,2021-03-11 01:29:43.290,2,50.7592,50.5592
46,Binance-Peg ... (BTCB),2021-03-10 15:12:47.499,2021-03-23 07:41:23.785,10,0.6426622687999999,0.45
47,Binance-Peg ... (BUSD),2021-03-10 15:12:47.605,2021-03-26 18:58:09.829,199,670616.435057122,194753.0054894205
48,Binance-Peg ... (BUSD-T),2021-03-10 15:12:47.477,2021-03-26 18:58:09.895,39,68157.4341082997,10000.0
49,Binance-Peg ... (DAI),2021-03-15 22:30:35.052,2021-03-24 07:02:51.622,3,557.9208882839391,284.83
50,Binance-Peg ... (DOGE),2021-03-23 07:41:23.870,2021-03-23 07:41:23.870,1,540.20640269,540.20640269
51,Binance-Peg ... (DOT),2021-03-10 16:00:47.587,2021-03-11 18:56:42.182,2,27.802427723500003,23.99463756
52,Binance-Peg ... (ETH),2021-03-14 22:07:23.318,2021-03-26 10:41:56.188,10,2056.0165719861,2011.3577115019
